symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website
TWTR,2021Q1_962106,推特,0,NYSE,交互式媒体,30830,-,互联网和相关服务,30830010,351260899000,-5.08,25.71,$68.07,通信服务,308,0.98,7793240,495884000,0.99,10000.0,7793240,0.99,0.99,1,77.63,45.18,61.29,11.06,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962106,,,,,,,,,,,,,
PCAR,2021Q1_962102,帕卡,2010,NAS,农用和重型工程机械,31050,-,农用和重型工程机械,31050010,198282698000,-6.68,3.15,$88.34,工业,310,0.91,3157652,293409000,0.58,10000.0,3157652,0.58,0.58,1,99.6,84.72,93.81,-5.83,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962102,,,,,,,,,,,,,
DKNG,2021Q1_962114,DraftKings Inc,0,NAS,旅游和娱乐,10290,-,赌博,10290010,116415871000,-22.01,-3.72,$44.83,周期性消费,102,1.09,4375424,268345000,0.53,10000.0,4375424,0.53,0.53,1,71.98,44.86,60.08,-25.38,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962114,,,,,,,,,,,,,
BMY,2021Q1_962077,施贵宝,1987,NYSE,医药制造,20620,-,通用医药制造,20620010,973450218000,5.4,10.29,$67.43,医疗保健,206,0.1,2179919,137618000,0.27,10000.0,2179919,0.27,0.27,1,66.74,59.34,62.18,8.44,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962077,,,,,,,,,,,,,
SKLZ,2021Q1_962104,Skillz Inc,0,NYSE,交互式媒体,30830,-,电子游戏和多媒体,30830020,39170268000,1.19,-23.6,$15.28,通信服务,308,1.52,6012260,114473000,0.23,10000.0,6012260,0.23,0.23,1,43.72,18.0,28.87,-47.07,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962104,,,,,,,,,,,,,
LMT,2021Q1_962100,洛克希德马丁,2000,NYSE,航空航天和国防,31010,-,航空航天和国防,31010010,679225570000,-2.5,8.02,$378.25,工业,310,0.1,276755,102261000,0.2,10000.0,276755,0.2,0.2,1,372.79,321.82,342.99,10.28,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962100,,,,,,,,,,,,,
TDY,2021Q1_962105,Teledyne Technologies Inc,0,NYSE,硬件,31120,-,科技仪器,31120060,131225405000,2.25,11.33,$436.41,科技,311,0.46,214977,88925000,0.18,10000.0,214977,0.18,0.18,1,413.65,356.17,386.0,13.06,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962105,,,,,,,,,,,,,
BFLY,2021Q1_962108,Butterfly Network Inc,0,NYSE,医疗器械,20650,-,医疗设备,20650010,13258650000,-30.39,0.0,$10.72,医疗保健,206,2.76,5286325,88969000,0.18,10000.0,5286325,0.18,0.18,1,27.14,16.05,19.3,-44.46,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962108,,,,,,,,,,,,,
CMLF,2021Q1_962109,CM Life Sciences Inc,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,4112063000,-15.13,4.17,$11.50,金融服务,103,7.65,4231546,63008000,0.13,10000.0,4231546,0.13,0.13,1,25.81,10.75,15.92,-27.76,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962109,,,,,,,,,,,,,
ABBV,2021Q1_962107,艾伯维,2013,NYSE,医药制造,20620,-,通用医药制造,20620010,1338138665000,10.84,13.0,$117.18,医疗保健,206,0.03,553117,59858000,0.12,10000.0,553117,0.12,0.12,1,112.62,102.3,106.92,9.6,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962107,,,,,,,,,,,,,
VUZI,2021Q1_962117,Vuzix Corporation,0,NAS,硬件,31120,-,消费类电子产品,31120030,6019091000,-36.27,62.56,$14.76,科技,311,3.3,2084017,53017000,0.11,10000.0,2084017,0.11,0.11,1,28.81,8.48,16.24,-9.11,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962117,,,,,,,,,,,,,
PANHF,2021Q1_962112,平安好医生,0,OTCPK,医疗机构和服务,20645,-,医疗信息服务,20645030,83094244000,-10.08,-8.96,$10.97,医疗保健,206,0.35,4010500,50296000,0.1,10000.0,4010500,0.1,0.1,1,18.75,10.5,13.21,-16.96,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962112,,,,,,,,,,,,,
SGFY,2021Q1_962110,Signify Health Inc,0,NYSE,医疗机构和服务,20645,-,医疗信息服务,20645030,29295481000,-0.07,0.0,$26.97,医疗保健,206,1.01,1694034,49567000,0.1,10000.0,1694034,0.1,0.1,1,39.44,24.29,31.11,-13.31,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962110,,,,,,,,,,,,,
ONEM,2021Q1_962079,1Life Healthcare Inc,0,NAS,医疗机构和服务,20645,-,医疗信息服务,20645030,23697526000,-37.7,-39.06,$26.60,医疗保健,206,0.8,1098269,42920000,0.09,10000.0,1098269,0.09,0.09,1,58.7,37.27,47.14,-43.57,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962079,,,,,,,,,,,,,
SEER,2021Q1_962119,Seer Inc,0,NAS,生物科技,20610,-,生物科技,20610010,10964649000,-47.76,-50.71,$27.67,医疗保健,206,1.38,848274,42431000,0.08,10000.0,848274,0.08,0.08,1,84.06,38.67,58.67,-52.84,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962119,,,,,,,,,,,,,
RBLX,2021Q1_962129,Roblox Corp,0,NYSE,交互式媒体,30830,-,电子游戏和多媒体,30830020,284718566000,-2.99,0.0,$77.28,通信服务,308,0.09,516877,33509000,0.07,10000.0,516877,0.07,0.07,1,77.0,64.5,69.7,10.88,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962129,,,,,,,,,,,,,
EXPCU,2021Q1_962096,Experience Investment Corp,0,NAS,多元化金融服务,10350,-,空壳公司,10350010,0,-41.82,-19.49,$9.50,金融服务,103,0.0,2744999,30799000,0.06,10000.0,2744999,0.06,0.06,1,20.89,11.0,14.98,-36.58,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962096,,,,,,,,,,,,,
AONE,2021Q1_962116,One,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,1486009000,-18.32,-20.52,$8.56,金融服务,103,7.83,2103928,24385000,0.05,10000.0,2103928,0.05,0.05,1,13.66,10.71,11.49,-25.5,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962116,,,,,,,,,,,,,
BILL,2021Q1_962113,Bill.com Holdings Inc,0,NYSE,软件,31110,-,软件应用,31110020,108402706000,9.44,31.61,$179.65,科技,311,0.18,169108,24605000,0.05,10000.0,169108,0.05,0.05,1,192.0,113.49,150.44,19.42,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962113,,,,,,,,,,,,,
ACIC,2021Q1_962115,Atlas Crest Investment Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,3997686000,-0.5,-1.59,$9.90,金融服务,103,2.34,1459498,14668000,0.03,10000.0,1459498,0.03,0.03,1,17.14,10.04,11.4,-13.16,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962115,,,,,,,,,,,,,
DM,2021Q1_962093,多兰传媒,0,NYSE,硬件,31120,-,计算机硬件,31120020,15500916000,-25.38,-45.47,$9.38,科技,311,0.4,1030570,15355000,0.03,10000.0,1030570,0.03,0.03,1,33.5,14.45,22.17,-57.69,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962093,,,,,,,,,,,,,
SPFR,2021Q1_962131,Jaws Spitfire Acquisition Corp,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,2765942000,-2.65,0.0,$9.92,金融服务,103,1.85,796478,8164000,0.02,10000.0,796478,0.02,0.02,1,11.79,10.15,10.88,-8.82,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962131,,,,,,,,,,,,,
ITGMF,2021Q1_962082,Augwind Energy Tech Storage Ltd,0,GREY,工业制品,31070,-,特种工业机械,31070020,2523848000,-29.28,-28.67,$21.65,工业,310,0.97,193616,4505000,0.01,10000.0,193616,0.01,0.01,1,31.41,28.85,30.15,-28.19,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962082,,,,,,,,,,,,,
DRIO,2021Q1_962094,DarioHealth Corp,0,NAS,医疗诊断和研究,20660,-,诊断和研究,20660010,1761455000,-14.72,15.96,$16.57,医疗保健,206,1.65,271619,5231000,0.01,10000.0,271619,0.01,0.01,1,30.42,15.41,22.65,-26.84,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962094,,,,,,,,,,,,,
ROBOF,2021Q1_962092,Robo Group TEK Ltd,0,OTCPK,硬件,31120,-,科技仪器,31120060,302986000,-46.67,-44.28,$1.12,科技,311,5.88,2674171,4615000,0.01,10000.0,2674171,0.01,0.01,1,3.2,1.66,2.17,-48.39,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962092,,,,,,,,,,,,,
BTSEF,2021Q1_962083,Bet Shemesh Engines Holdings (1997) Ltd,0,OTCPK,航空航天和国防,31010,-,航空航天和国防,31010010,1073882000,0.0,0.0,₪0.00,工业,310,3.15,278364,5894000,0.01,10000.0,278364,0.01,0.01,1,0.0,0.0,0.0,0.0,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962083,,,,,,,,,,,,,
SEDG,2021Q1_962103,SolarEdge Technologies Inc,0,NAS,半导体,31130,-,太阳能,31130030,81059150000,-5.78,-24.41,$241.21,科技,311,0.04,18439,5300000,0.01,10000.0,18439,0.01,0.01,1,365.97,246.71,302.05,-20.14,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962103,,,,,,,,,,,,,
LHX,2021Q1_962127,L3Harris Technologies Inc,2001,NYSE,航空航天和国防,31010,-,航空航天和国防,31010010,296686876000,6.7,19.51,$223.86,工业,310,0.01,15613,3164000,0.01,10000.0,15613,0.01,0.01,1,203.08,171.51,187.59,19.33,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962127,,,,,,,,,,,,,
NNOX,2021Q1_962101,Nano X Imaging Ltd,0,NAS,医疗器械,20650,-,医疗设备,20650010,8733258000,-17.02,-37.84,$28.38,医疗保健,206,0.2,94053,3898000,0.01,10000.0,94053,0.01,0.01,1,89.39,36.41,54.07,-47.51,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962101,,,,,,,,,,,,,
FROG,2021Q1_962097,JFrog Ltd,0,NAS,软件,31110,-,软件应用,31110020,26017061000,-18.03,-31.47,$43.06,科技,311,0.1,91060,4040000,0.01,10000.0,91060,0.01,0.01,1,69.93,43.38,57.78,-25.48,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962097,,,,,,,,,,,,,
PRNT,2021Q1_962128,ARK 3D Printing ETF,0,BATS,-,0,-,0,0,3280628000,-4.66,16.94,$36.80,-,0,0.73,100170,3891000,0.01,10000.0,100170,0.01,0.01,1,49.95,31.18,40.15,-8.34,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962128,,,,,,,,,,,,,
KRNT,2021Q1_962099,Kornit Digital Ltd,0,NAS,工业制品,31070,-,特种工业机械,31070020,34967458000,11.77,31.21,$116.95,工业,310,0.13,61070,6053000,0.01,10000.0,61070,0.01,0.01,1,119.41,81.77,98.88,18.27,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962099,,,,,,,,,,,,,
ITMMF,2021Q1_962088,Itamar Medical Ltd,0,OTCPK,医疗器械,20650,-,医疗设备,20650010,2110217000,23.97,48.51,$0.75,医疗保健,206,1.37,6710537,5167000,0.01,10000.0,6710537,0.01,0.01,1,1.0,0.51,0.75,0.0,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962088,,,,,,,,,,,,,
MGIC,2021Q1_962089,Magic Software Enterprises Ltd,2020,NAS,软件,31110,-,软件应用,31110020,5300606000,10.34,13.8,$17.60,科技,311,0.68,331141,5139000,0.01,10000.0,331141,0.01,0.01,1,17.92,14.64,16.47,6.86,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962089,,,,,,,,,,,,,
KMTUF,2021Q1_962123,Komatsu Ltd,2021,OTCPK,农用和重型工程机械,31050,-,农用和重型工程机械,31050010,153023634000,-21.3,-7.08,$24.68,工业,310,0.01,93188,2880000,0.01,10000.0,93188,0.01,0.01,1,32.5,27.79,29.96,-17.63,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962123,,,,,,,,,,,,,
ENLV,2021Q1_962095,Enlivex Therapeutics Ltd,0,NAS,生物科技,20610,-,生物科技,20610010,892407000,-32.86,-10.56,$7.54,医疗保健,206,2.6,476414,5283000,0.01,10000.0,476414,0.01,0.01,1,24.0,9.26,13.85,-45.56,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962095,,,,,,,,,,,,,
HEI,2021Q1_962126,海科航空,2002,NYSE,航空航天和国防,31010,-,航空航天和国防,31010010,111499477000,-0.66,1.59,$134.33,工业,310,0.0,5756,724000,0.0,10000.0,5756,0.0,0.0,1,138.78,116.13,128.49,4.55,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962126,,,,,,,,,,,,,
RTP,2021Q1_962130,Reinvent Technology Partners,0,NYSE,多元化金融服务,10350,-,空壳公司,10350010,5539096000,-1.58,-14.01,$9.94,金融服务,103,0.05,45000,457000,0.0,10000.0,45000,0.0,0.0,1,15.7,10.1,12.16,-18.26,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962130,,,,,,,,,,,,,
GRMN,2021Q1_962125,佳明,2003,NAS,硬件,31120,-,科技仪器,31120060,185241095000,8.11,25.68,$149.11,科技,311,0.01,9797,1292000,0.0,10000.0,9797,0.0,0.0,1,132.48,114.86,124.54,19.73,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962125,,,,,,,,,,,,,
BA,2021Q1_962124,波音,2020,NYSE,航空航天和国防,31010,-,航空航天和国防,31010010,841677051000,-11.29,4.06,$222.76,工业,310,0.0,8990,2290000,0.0,10000.0,8990,0.0,0.0,1,269.19,194.03,222.08,0.31,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962124,,,,,,,,,,,,,
KODK,2021Q1_962098,柯达,0,NYSE,商业服务,31020,-,特种商业服务,31020010,3750903000,1.79,-9.21,$7.39,工业,310,0.09,73084,575000,0.0,10000.0,73084,0.0,0.0,1,12.08,7.6,9.14,-19.15,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962098,,,,,,,,,,,,,
PYR,2021Q1_962080,PyroGenesis Canada Inc,0,NAS,工业制品,31070,-,特种工业机械,31070020,4786903000,-16.54,57.17,$4.44,工业,310,0.13,211000,1420000,0.0,10000.0,211000,0.0,0.0,1,9.43,2.79,5.87,-24.36,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962080,,,,,,,,,,,,,
EADSF,2021Q1_962121,Airbus SE,0,OTCPK,航空航天和国防,31010,-,航空航天和国防,31010010,663474161000,7.25,17.41,$131.50,工业,310,0.0,8928,1013000,0.0,10000.0,8928,0.0,0.0,1,124.63,100.0,113.24,16.12,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962121,,,,,,,,,,,,,
IWF,2021Q1_962120,罗素1000成长指数ETF-iShares,0,ARCA,-,0,-,0,0,457568538000,6.04,14.99,$276.87,-,0,0.0,3270,795000,0.0,10000.0,3270,0.0,0.0,1,254.31,229.7,243.12,13.88,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962120,,,,,,,,,,,,,
SPY,2021Q1_962078,SPDR标普500ETF,0,ARCA,-,0,-,0,0,2470415269000,4.88,17.04,$434.75,-,0,0.0,55,22000,0.0,10000.0,55,0.0,0.0,1,396.33,367.59,384.57,13.05,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962078,,,,,,,,,,,,,
THLEF,2021Q1_962122,Thales,2020,OTCPK,航空航天和国防,31010,-,航空航天和国防,31010010,142254500000,-4.51,12.67,$101.95,工业,310,0.01,25234,2512000,0.0,10000.0,25234,0.0,0.0,1,100.25,87.76,94.06,8.39,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962122,,,,,,,,,,,,,
SPR,2021Q1_962132,Spirit AeroSystems Holdings Inc,2020,NYSE,航空航天和国防,31010,-,航空航天和国防,31010010,28974417000,-8.97,8.8,$42.51,工业,310,0.04,42063,2046000,0.0,10000.0,42063,0.0,0.0,1,52.01,33.87,42.74,-0.54,2021-03-31T04:00:00Z,{1_trade_buy},{trade_buy},2021Q1_962132,,,,,,,,,,,,,
PLTR,2021Q1_962062,Palantir Technologies Inc,0,NYSE,软件,31110,-,软件基础构架,31110030,260981646000,-7.26,-8.83,$21.47,科技,311,0.99,18632471,433950000,0.86,1314.64,17315349,0.8,0.8,1,39.0,21.73,27.5,-21.93,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1314.64 %,2021Q1_962062,,,,,,,,,,,,,
TER,2021Q1_961947,泰瑞达,2014,NAS,半导体,31130,-,半导体仪器和材料,31130010,132364163000,-6.07,2.87,$123.13,科技,311,1.73,2877103,350086000,0.7,1108.63,2639056,0.64,0.64,1,143.64,104.2,125.91,-2.21,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 1108.63 %,2021Q1_961947,,,,,,,,,,,,,
SRPT,2021Q1_962068,Sarepta Therapeutics Inc,0,NAS,生物科技,20610,-,生物科技,20610010,35264064000,-5.87,-59.9,$68.37,医疗保健,206,2.33,1860293,138648000,0.28,665.83,1617382,0.24,0.24,1,168.95,72.25,92.26,-25.89,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 665.83 %,2021Q1_962068,,,,,,,,,,,,,
TXG,2021Q1_962020,10x Genomics Inc,0,NAS,医疗机构和服务,20645,-,医疗信息服务,20645030,120719775000,-13.3,20.09,$170.05,医疗保健,206,3.19,3504121,634246000,1.26,556.82,2970625,1.07,1.07,1,196.86,140.25,173.08,-1.75,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 556.82 %,2021Q1_962020,,,,,,,,,,,,,
ARKG,2021Q1_962118,ARK Genomic Revolution ETF,0,BATS,-,0,-,0,0,55671534000,-8.81,-11.67,$82.38,-,0,0.01,10735,953000,0.0,542.81,9065,0.0,0.0,1,112.47,81.74,99.19,-16.95,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 542.81 %,2021Q1_962118,,,,,,,,,,,,,
ARKK,2021Q1_962111,ARK Innovation ETF,0,ARCA,-,0,-,0,0,142734482000,-8.07,-6.5,$116.40,-,0,0.01,18101,2171000,0.0,521.17,15187,0.0,0.0,1,156.58,110.26,135.31,-13.98,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 521.17 %,2021Q1_962111,,,,,,,,,,,,,
MGA,2021Q1_962073,曼格纳国际,2009,NYSE,汽车和配件,10200,-,汽车配件,10200030,170400156000,-8.26,24.68,$87.41,周期性消费,102,0.23,707109,62254000,0.12,502.91,589827,0.1,0.1,1,93.68,69.71,81.12,7.75,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 502.91 %,2021Q1_962073,,,,,,,,,,,,,
UPS,2021Q1_961958,联合包裹,1999,NYSE,交通运输,31080,-,装卸搬运和其他运输代理,31080060,1198067688000,19.06,27.61,$212.86,工业,310,0.0,28750,4887000,0.01,419.33,23214,0.01,0.01,1,169.99,155.0,161.78,31.57,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 419.33 %,2021Q1_961958,,,,,,,,,,,,,
MSFT,2021Q1_961907,微软,2003,NAS,软件,31110,-,软件基础构架,31110030,13684871275000,8.51,26.85,$281.03,科技,311,0.0,109170,25739000,0.05,408.0,87680,0.04,0.04,1,244.99,212.25,232.23,21.01,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 408.00 %,2021Q1_961907,,,,,,,,,,,,,
DASTF,2021Q1_961902,Dassault Systemes SE,2008,OTCPK,软件,31110,-,软件应用,31110020,434109868000,12.61,31.06,$51.50,科技,311,0.05,632470,27110000,0.05,395.49,504825,0.04,0.04,5,46.4,38.55,42.23,21.95,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 395.49 %,2021Q1_961902,,,,,,,,,,,,,
